name,id,lat,lon,capacity,number,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Are,Shape__Len,LSOA Code,LSOA Name,Mid-2020 population,Area Sq Km,People per Sq Km
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,24,20.0,POINT (-0.117069978 51.53136059),1654,1655,E01002711,Islington 021B,12915,4,389790.896102905,2832.21622436806,E01002711,Islington 021B,2766,0.15,18269
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,34,35.0,POINT (-0.098850915 51.5154186),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,16,21.0,POINT (-0.108340165 51.52352001),1667,1668,E01002724,Islington 022D,19372,6,674841.376960754,4622.62171995784,E01002724,Islington 022D,2741,0.26,10379
"Old Street Station, St. Luke's",73,51.52548,-0.089659871,29,27.0,POINT (-0.089659871 51.52548),1648,1649,E01002704,Islington 023D,12549,4,859190.52620697,4856.38792350764,E01002704,Islington 023D,2669,0.34,7965
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,17,88.0,POINT (-0.124469948 51.48591714),31346,31347,E01033208,Lambeth 004G,15397,5,136903.333442688,1507.28102651542,E01033208,Lambeth 004G,2440,0.05,48800
"Torrens Street, Angel",75,51.53219984,-0.105480698,19,11.0,POINT (-0.105480698 51.53219984),1743,1744,E01002803,Islington 020E,11531,4,457938.774497986,4473.97062332573,E01002803,Islington 020E,3251,0.18,18101
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,21,38.0,POINT (-0.144083893 51.52559505),928,929,E01000946,Camden 021B,19148,6,1246083.88861847,9000.03984715975,E01000946,Camden 021B,2339,0.49,4780
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,26,32.0,POINT (-0.124121774 51.52341837),835,836,E01000853,Camden 025A,7640,3,150816.374702454,1773.09555306383,E01000853,Camden 025A,1786,0.06,30478
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,17,31.0,POINT (-0.099489485 51.52486887),31583,31584,E01033489,Islington 022G,21648,7,239472.477653503,3048.94403303808,E01033489,Islington 022G,3085,0.09,32680
"Arundel Street, Temple",79,51.511726,-0.11385596,18,18.0,POINT (-0.11385596 51.511726),5398,5399,E01004735,Westminster 018B,5794,2,1256274.06907654,7390.7938430654,E01004735,Westminster 018B,1426,0.48,2977
"Webber Street , Southwark",80,51.50069361,-0.102091246,45,40.0,POINT (-0.102091246 51.50069361),32440,32441,E01032583,Southwark 034D,7940,3,394974.026535034,4169.85410700601,E01032583,Southwark 034D,1730,0.15,11382
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,19,36.0,POINT (-0.141327271 51.52025302),5425,5426,E01004765,Westminster 013D,15472,5,678545.659439087,5064.16815154045,E01004765,Westminster 013D,2687,0.27,10022
"Chancery Lane, Holborn",82,51.514274,-0.111257,15,18.0,POINT (-0.111257 51.514274),5398,5399,E01004735,Westminster 018B,5794,2,1256274.06907654,7390.7938430654,E01004735,Westminster 018B,1426,0.48,2977
"Panton Street, West End",83,51.50963938,-0.131510949,21,132.0,POINT (-0.131510949 51.50963938),5397,5398,E01004734,Westminster 018A,7933,3,825953.980491638,7044.84635475906,E01004734,Westminster 018A,1825,0.33,5614
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,25,6.0,POINT (-0.111778348 51.51593725),32593,32594,E01032740,City of London 001G,18089,6,1648997.79118347,6600.51920623275,E01032740,City of London 001G,1742,0.64,2733
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,41,72.0,POINT (-0.078600401 51.50064702),32503,32504,E01032646,Southwark 003I,19949,7,312534.616985321,3402.79030938349,E01032646,Southwark 003I,1725,0.12,14036
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,24,20.0,POINT (-0.115156562 51.48947903),3827,3828,E01003105,Lambeth 003B,8374,3,252266.794464111,3661.81960708744,E01003105,Lambeth 003B,1864,0.1,19457
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,16,7.0,POINT (-0.079684557 51.51646835),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
