name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"Broadley Terrace, Marylebone",-0.165668686,51.52456169,-0.244356896,-0.444105387,0.032977771,-0.277334667,0.516908477,0.110028166,0.000139978,0,0,0,0,0,0.724747695,0.416312348,0.474525523,0.267663346,0.132190987,0,0,0,0,0,0.505312583,0.927181808,0.240096412,0.872073825,0.256789066,24.09999901
"Bell Street , Marylebone",-0.165842551,51.52202903,-0.288495539,-0.32441348,-0.325811992,0.037316453,0.441408536,0.155029315,3.96E-06,0,0,0,0,0,0.705779509,0.449497555,0.495815735,0.285924139,0.135650541,0,0,0,0,0,0.434469898,0.777765097,0.142479799,0.699124704,0.257485839,24.50609876
"Imperial College, Knightsbridge",-0.179702476,51.49942855,0.064613602,-0.227686651,0.713396024,-0.648782422,0.521669485,0.112449676,0.000787171,0,-1.072596727,0,0,0,0.508255724,0.411174109,0.557939293,0.422453301,0.211787036,0,-2.608619327,0,0,0,0.148307064,0.009263089,0.939537193,0.072820521,0.262347894,23.04860335
"Mallory Street, Marylebone",-0.166304359,51.52505151,-0.170792492,-0.250745351,-0.121134452,-0.04965804,0.502359303,0.184201422,8.94E-06,0,0,0,0,0,0.721810503,0.402173398,0.456051398,0.266017789,0.129690985,0,0,0,0,0,0.564882315,0.925529562,0.278963892,0.918498643,0.277376017,24.94087516
"Hewison Street, Old Ford",-0.028155,51.533283,-0.170792492,-0.207985453,0.679862372,-0.850654864,0.383676563,0.15838676,0.002119822,1.141961076,-2.46872677,-2.107269166,-1.482525007,0,0.497728099,0.353086082,0.414016969,0.362924757,0.172527845,2.294347213,-6.991855233,-5.089813515,-4.084937655,0,0.022032731,5.79E-12,4.49E-07,4.86E-05,0.296388709,22.14984857
"Edgware Road Station, Marylebone",-0.169774,51.519968,0.167603769,0.035614638,-0.307829612,0.475433381,0.362782192,0.119341669,0.000455675,0,0,0,0,0,0.75108932,0.446196925,0.467542,0.318384796,0.131470326,0,0,0,0,0,0.735901558,0.328636852,0.116897461,0.744257405,0.322081818,26.02872677
"Kensington Town Hall, Kensington",-0.194392952,51.50194596,-0.214931135,-0.447495021,0.281928256,-0.496859391,0.448782316,0.053614931,0.000193605,0,-0.902131282,0,0,0,0.615588305,0.321389993,0.446809707,0.236781443,0.199607634,0,-2.806967548,0,0,0,0.379839128,0.005124506,0.178456715,0.075415254,0.325369302,21.29180377
"Montpelier Street, Knightsbridge",-0.165471605,51.49888404,0.152890888,-0.09903621,1.238751344,-1.085860456,0.353084159,0.282591858,0.008481524,0,-0.88487156,0,2.059450436,0,0.658393945,0.269007143,0.759048938,0.803896514,0.265376151,0,-3.289398006,0,2.56183526,0,0.319892574,0.001048604,0.606104085,0.010596999,0.361435672,21.00859364
"Derry Street, Kensington",-0.191462381,51.50136494,-0.053089445,-0.302610701,0.471311779,-0.524401224,0.454138918,0.056697396,0.000229555,0,-0.986990125,0,0,0,0.587254464,0.348974323,0.477711007,0.259680099,0.199064665,0,-2.828260017,0,0,0,0.289425156,0.00479896,0.250976099,0.12359664,0.388556482,21.88775105
"St. John's Wood Church, The Regent's Park",-0.167515,51.530529,0.123465126,-0.313317155,0.211017919,-0.087552793,0.570780508,0.186223466,2.82E-05,0,0,0,0,0,0.915239426,0.437261096,0.455204386,0.331256103,0.142851695,0,0,0,0,0,0.959765421,0.951392341,0.534693855,0.766669256,0.391277172,21.23039267
"Exhibition Road Museums 1, South Kensington",-0.17379696,51.496468,0.403009863,0.256141585,0.199334469,0.203675394,0.456278331,0.060411084,3.72E-05,0,0,0,1.239686799,0,0.448333335,0.330366918,0.510804632,0.464621951,0.197485476,0,0,0,2.668162356,0,0.102981976,0.075244912,0.738273653,0.007783459,0.399192638,24.29756148
"New Cavendish Street, Marylebone",-0.147983,51.519167,-0.362059944,-0.48743377,-0.201322944,-0.160737,0.398570581,0.098521162,4.10E-05,0,0,0,0,0,0.426698689,0.655390989,0.594807877,0.61279706,0.194536976,0,0,0,0,0,0.166342745,0.929523214,0.337887737,0.92191922,0.40229409,19.81390873
"St. George Street, Mayfair",-0.142783033,51.51196,-0.259069777,-0.455838515,-0.166207463,-0.092862314,0.276192145,0.127343754,1.89E-05,0,0,0,0,0,0.335871027,0.711959682,0.49174781,0.438314165,0.331973986,0,0,0,0,0,0.10276413,0.354504677,0.740855816,0.283179129,0.40354692,22.01457491
"Paddington Green, Paddington",-0.174593,51.520205,-0.185505373,-0.364379352,-0.296301184,0.110795811,0.163907698,0.12459722,2.61E-05,0,0,0,0,0,0.974774251,0.467345519,0.481367846,0.38249612,0.136807213,0,0,0,0,0,0.925635859,0.342235228,0.278699009,0.956247688,0.419798972,24.78925976
"Lord's, St. John's Wood",-0.171185285,51.5291212,-0.288495539,-0.714236228,0.113099465,-0.401595004,0.446679989,0.177639456,0.000554997,0,0,0,0,0,0.942652507,0.419687637,0.456311678,0.341217877,0.134931376,0,0,0,0,0,0.901304419,0.912131983,0.687972637,0.708320068,0.423897534,23.14841263
"Penfold Street, Marylebone",-0.171681991,51.52289229,-0.332634182,-0.392768789,-0.240154846,-0.092479336,0.124956467,0.080422556,1.07E-05,0,0,0,0,0,0.782150439,0.41049716,0.449294286,0.298495917,0.123684451,0,0,0,0,0,0.872007768,0.707333294,0.3794871,0.955598865,0.426942825,27.98221734
"Lisson Grove, St. John's Wood",-0.172190727,51.52644828,-0.332634182,-0.474170516,-0.142782366,-0.189851816,0.29294736,0.106613586,6.31E-05,0,0,0,0,0,0.836808501,0.399792755,0.442908818,0.308209178,0.125632255,0,0,0,0,0,0.995887417,0.872118598,0.587048073,0.803742524,0.432333121,26.63266928
"Warwick Row, Westminster",-0.14296064,51.497998,-0.420911467,-0.650840719,0.153206495,-0.574117962,0.318889033,0.204143377,0.001391768,2.016080882,1.373550052,0,1.984239832,0,0.659764576,0.550088622,0.449891657,0.432378045,0.147941368,3.055758002,2.496961394,0,4.589131795,0,0.00232064,0.012729331,0.158276532,5.18E-06,0.432390072,19.89579097
"Bromley High Street, Bow",-0.013258,51.528828,-0.126653849,-0.199157259,0.958911691,-1.08556554,0.400971339,0.159846732,0.003496211,2.379279772,-2.586871139,-1.194559142,-1.630601148,0,0.526216112,0.354344876,0.258051232,0.357501649,0.155344103,4.52148788,-7.300433313,-4.629154972,-4.561101055,0,7.08E-06,7.02E-13,4.29E-06,5.90E-06,0.443389094,22.01396652
"Holy Trinity Brompton, Knightsbridge",-0.168917077,51.49705603,0.02047496,-0.132429198,0.499790139,-0.47931518,0.384375916,0.055289944,0.000186462,0,-0.661290579,0,1.252598398,0,0.489651246,0.261409198,0.568771631,0.556206798,0.211950858,0,-2.529714274,0,2.252037198,0,0.279934073,0.011609382,0.575629177,0.024594475,0.446400246,24.37508451
"Chapel Place, Marylebone",-0.147203711,51.51530805,-0.317921301,-0.435932078,-0.191188778,-0.126732523,0.583474076,0.161203345,4.82E-05,0,0,0,0,0,0.451118489,0.694422664,0.484831044,0.430526942,0.24792558,0,0,0,0,0,0.262394252,0.531113714,0.293784875,0.285845342,0.464944498,21.23047782
"Greenberry Street, St.John's Wood",-0.16862,51.53256,-0.288495539,-0.421395848,-0.213956728,-0.074538811,0.571019343,0.221722463,2.66E-05,0,0,0,0,0,1.123274005,0.482534861,0.493853479,0.411899517,0.152776504,0,0,0,0,0,0.776691854,0.898588471,0.71452868,0.580362373,0.466214109,18.76888285
"Wellington Road, St. John's Wood",-0.172528678,51.53304322,-0.200218254,-0.523655788,-0.065874429,-0.134343824,0.490302022,0.133912754,4.22E-05,0,0,0,0,0,1.178358566,0.464726967,0.495490142,0.428856569,0.146905656,0,0,0,0,0,0.663813392,0.778703437,0.865379787,0.522212786,0.497629273,19.11023887
"St. John's Wood Road, St. John's Wood",-0.174653609,51.5272947,-0.097228087,-0.147508362,-0.252220378,0.154992291,0.185411427,0.179404137,8.38E-05,0,0,0,0,0,0.964683046,0.422059854,0.462753447,0.353602396,0.128840664,0,0,0,0,0,0.851274968,0.81196606,0.763158374,0.706319935,0.498851475,24.85002863
"Exhibition Road Museums 2, South Kensington",-0.17368958,51.495947,-0.420911467,-0.553754049,0.165815477,-0.586726944,0.429580637,0.055914615,0.000282927,0,0,0,0.986085873,0,0.432237733,0.324969149,0.486985893,0.440830025,0.197029989,0,0,0,2.236884552,0,0.209366509,0.153568913,0.985822669,0.025572846,0.512940428,24.47072739
"Portland Place, Marylebone",-0.14521173,51.52071513,-0.185505373,-0.337669046,-0.067838717,-0.117666656,0.459122724,0.121851976,2.87E-05,0,0,0,0,0,0.443223686,0.565469596,0.716354789,0.726448911,0.189799058,0,0,0,0,0,0.298215037,0.994744519,0.511075655,0.996311293,0.520846171,19.0875417
"Charlbert Street, St. John's Wood",-0.1680743,51.53430039,-0.097228087,-0.51099363,0.033893734,-0.131121821,0.575465644,0.207465747,7.44E-05,0,0,0,0,0,1.158907731,0.495832356,0.509876307,0.441497982,0.162256582,0,0,0,0,0,0.736235852,0.882376534,0.717149304,0.545256954,0.523287534,17.25638812
