name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,46.0,Liverpool Street_diatance,1618.0,Lincoln's Inn Fields South_distance,2300.0,Blackfriars Pier_diatance,2317.0,24596.0
"Crawford Street, Marylebone",43,51.52026,-0.157183945,47.0,Marylebone_diatance,512.0,The Regent's Park Clarence Gate_distance,503.0,Embankment Pier_diatance,2887.0,23675.0
"Bruton Street, Mayfair",44,51.51073687,-0.144165239,12.0,Charing Cross_diatance,1502.0,Green Park Devonshire Gates_diatance,567.0,Embankment Pier_diatance,1634.0,2938.0
"Boston Place, Marylebone",45,51.522511,-0.162298,26.0,Marylebone_diatance,82.0,The Regent's Park Clarence Gate_distance,375.0,Embankment Pier_diatance,3319.0,20491.0
"Nesham Street, Wapping",46,51.507131,-0.06691,35.0,Fenchurch Street_diatance,920.0,Mile End Park Football Pitch_diatance,2560.0,Tower Bridge Quay_diatance,475.0,7364.0
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408,132.0,Paddington_diatance,844.0,The Regent's Park Hanover Gate_distance,1379.0,Cadogan Pier_diatance,4664.0,13908.0
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408,29.0,Blackfriars_diatance,285.0,Lincoln's Inn Fields South_distance,1231.0,Blackfriars Pier_diatance,242.0,1021.0
"Curzon Street, Mayfair",49,51.50706909,-0.145904427,36.0,Victoria_diatance,1167.0,Green Park Devonshire Gates_diatance,180.0,Westminster Pier_diatance,1683.0,4530.0
"East Road, Hoxton",50,51.52867339,-0.087459376,35.0,Liverpool Street_diatance,1195.0,Lincoln's Inn Fields South_distance,2460.0,Blackfriars Pier_diatance,2214.0,52750.0
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,31.0,Kings Cross_diatance,1458.0,Lincoln's Inn Fields South_distance,1481.0,Blackfriars Pier_diatance,1805.0,30164.0
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,32.0,Liverpool Street_diatance,1029.0,Lincoln's Inn Fields South_distance,1680.0,Blackfriars Pier_diatance,1433.0,19126.0
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,11.0,Charing Cross_diatance,1438.0,Green Park Devonshire Gates_diatance,490.0,Embankment Pier_diatance,1570.0,2938.0
"Golden Lane, Barbican",54,51.52174785,-0.094475072,37.0,Liverpool Street_diatance,942.0,Lincoln's Inn Fields South_distance,1649.0,Blackfriars Pier_diatance,1316.0,32149.0
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,25.0,Liverpool Street_diatance,367.0,Lincoln's Inn Fields South_distance,2048.0,London Bridge City Pier_diatance,1137.0,1021.0
