name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Clifford Street, Mayfair",391,51.51066202,-0.142345694,10.0,Charing Cross_diatance,1377.556474396786,Green Park Devonshire Gates_diatance,580.2601690409327,Embankment Pier_diatance,1510.6208128410988,2938.0
"Imperial College, Knightsbridge",392,51.49942855,-0.179702476,66.0,Paddington_diatance,1974.5245057207574,Kensington Gardens Queen Gate_diatance,249.62869730763455,Cadogan Pier_diatance,2063.2799685064456,4109.0
"Snow Hill, Farringdon",393,51.51733427,-0.103604248,11.0,Blackfriars_diatance,638.9912397006199,Lincoln's Inn Fields South_distance,890.7816892110311,Blackfriars Pier_diatance,769.001224069607,2733.0
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268,42.0,Paddington_diatance,860.2041263914601,The Regent's Park Hanover Gate_distance,835.5087814596383,Embankment Pier_diatance,4288.014802388756,28154.0
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919,47.0,Victoria_diatance,1143.3426586766768,Hyde Park Albert Gate_diatance,1128.4523379926036,Cadogan Pier_diatance,1159.943547418024,12691.0
"Shouldham Street, Marylebone",396,51.51809,-0.163609,50.0,Marylebone_diatance,558.6778328095382,Hyde Park Marble Arch_diatance,745.9469693572046,Embankment Pier_diatance,3175.599223287321,20291.0
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977,94.0,Paddington_diatance,448.85108166692413,Kensington Gardens Lancaster Gate_diatance,296.16313111010174,Cadogan Pier_diatance,3531.6924181764543,38188.0
"Holland Park, Kensington",398,51.502319,-0.200742,61.0,Paddington_diatance,2328.9136459176643,Holland Park Duchess of Bedford_diatance,13.33063710522924,Cadogan Pier_diatance,3218.3250009981875,5099.0
"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961,56.0,Liverpool Street_diatance,843.9169145996342,Victoria Park Bonner Gate_diatance,2000.5063501489703,Tower Millennium Pier_diatance,1778.3304925936907,14523.0
"George Street, Marylebone",400,51.517703,-0.154106,26.0,Marylebone_diatance,859.549055122578,Hyde Park Marble Arch_diatance,696.618658311625,Embankment Pier_diatance,2562.2108844901386,7737.0
"Columbia Road, Shoreditch",401,51.528187,-0.075375,39.0,Liverpool Street_diatance,1167.9181960613323,Victoria Park St Agnes Gate_diatance,1902.6060450224768,Tower Millennium Pier_diatance,2338.3418324493873,21972.0
"Penfold Street, Marylebone",402,51.52289229,-0.171681991,34.0,Marylebone_diatance,601.1120809635585,The Regent's Park Hanover Gate_distance,741.433972279194,Embankment Pier_diatance,3907.5070985318052,29064.0
"George Place Mews, Marylebone",403,51.51689296,-0.158249929,59.0,Marylebone_diatance,764.4475768549327,Hyde Park Marble Arch_diatance,531.2401123936729,Embankment Pier_diatance,2782.293504030058,13849.0
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,246.0,Paddington_diatance,1752.9424352168141,Kensington Gardens Palace Gate_diatance,19.944538276668702,Cadogan Pier_diatance,2473.9509905827895,7318.0
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,70.0,Paddington_diatance,2579.074694304308,Kensington Gardens Queen Gate_diatance,846.4754469266361,Cadogan Pier_diatance,1693.341730075991,11055.0
"Sun Street, Liverpool Street",408,51.520009,-0.083935724,2.0,Liverpool Street_diatance,219.07636412622864,Lincoln's Inn Fields South_distance,2283.806052865761,London Bridge City Pier_diatance,1455.4017648532715,6784.0
"Strata, Elephant & Castle",409,51.493146,-0.099828,106.0,Waterloo East_diatance,1410.3876001402234,Geraldine Mary Harmsworth Park East_diatance,536.8047219614448,Millbank Millennium Pier_diatance,1728.4735262920683,46000.0
"Edgware Road Station, Marylebone",410,51.519968,-0.169774,95.0,Marylebone_diatance,583.9055788319613,Hyde Park Victoria Gate_diatance,916.7100053850313,Embankment Pier_diatance,3649.8914514583976,19375.0
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846029,190.0,Fenchurch Street_diatance,2065.1578790955577,Mile End Park Football Pitch_diatance,2595.662114108146,Tower Bridge Quay_diatance,1438.110128513106,13318.0
"Cleaver Street, Kennington",412,51.488105,-0.110121,23.0,Vauxhall_diatance,918.1629084845954,Geraldine Mary Harmsworth Park West_diatance,831.4553736068884,Millbank Millennium Pier_diatance,1088.672033939527,17983.0
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004,48.0,Victoria_diatance,1233.4040872761232,Battersea Park Sopwith Way_diatance,490.33365261595117,Battersea Power Station Pier_diatance,299.26742677053517,22133.0
"Southwark Station 1, Southwark",420,51.504043,-0.105312,25.0,Waterloo East_diatance,331.4586017871095,Geraldine Mary Harmsworth Park North_diatance,797.8565607657596,Bankside Pier_diatance,789.7295733740315,11382.0
"Southwark Station 2, Southwark",421,51.504044,-0.104778,17.0,Waterloo East_diatance,368.4110499416623,Geraldine Mary Harmsworth Park North_diatance,809.1902800872192,Bankside Pier_diatance,762.4705522576803,11382.0
"Eaton Square (South), Belgravia",423,51.49456127,-0.15393398,42.0,Victoria_diatance,671.7287119301807,Hyde Park White Horse Gate_diatance,907.1970852450886,Battersea Power Station Pier_diatance,1306.1919220226239,10254.0
"Ebury Bridge, Pimlico",424,51.490491,-0.149186,43.0,Victoria_diatance,744.066061532167,Battersea Park Sopwith Way_diatance,1009.0743098957566,Battersea Power Station Pier_diatance,764.3846064102235,13181.0
"Vincent Street, Pimlico",426,51.493072,-0.129925,39.0,Vauxhall_diatance,934.1100751981535,St. James's Park Queen Anne's Gate_distance,913.8571059139896,Millbank Millennium Pier_diatance,389.5156329634886,40866.0
"Cheapside, Bank",427,51.51397065,-0.09294031,51.0,Cannon Street_diatance,446.9288985005017,Lincoln's Inn Fields South_distance,1619.444573499434,Bankside Pier_diatance,636.8196928098048,1021.0
"Exhibition Road, Knightsbridge",428,51.499917,-0.174554,139.0,Paddington_diatance,1917.5484249299755,Hyde Park Alexandra Gate_diatance,218.45497017234098,Cadogan Pier_diatance,1982.272282426078,4109.0
"South Parade, Chelsea",430,51.48902,-0.17524,22.0,Victoria_diatance,2269.7044275095077,Battersea Park Albert Gate_diatance,1258.0637573281783,Cadogan Pier_diatance,922.2343887538334,10752.0
