name,id,lat,lon,capacity,number
"High Holborn , Covent Garden",358,51.516226,-0.124826,20,23.0
"Butler Place, Westminster",359,51.49782999,-0.135440826,18,26.0
"Howick Place, Westminster",360,51.49675303,-0.138733562,27,20.0
"Waterloo Station 2, Waterloo",361,51.50391973,-0.11342629,55,49.0
"Royal College Street, Camden Town",362,51.536264,-0.133952,57,57.0
"Lord's, St. John's Wood",363,51.5291212008901,-0.171185284853,24,8.0
"Store Street, Bloomsbury",364,51.519572,-0.13214036,32,25.0
"City Road, Angel",365,51.530344,-0.100168,47,16.0
"Harrowby Street, Marylebone",367,51.5173721,-0.1642075,16,23.0
"Harriet Street, Knightsbridge",368,51.50024195,-0.15934065,25,44.0
"Paddington Green, Paddington",370,51.520205,-0.174593,20,11.0
"King Edward Walk, Waterloo",371,51.49775,-0.10988,22,14.0
"Sardinia Street, Holborn",372,51.515208,-0.117863,24,14.0
"Prince Consort Road, Knightsbridge",373,51.49980661,-0.176415994,18,19.0
"Waterloo Station 1, Waterloo",374,51.50402794,-0.11386436,36,87.0
"Kensington Town Hall, Kensington",375,51.50194596,-0.194392952,18,29.0
"Millbank Tower, Pimlico",376,51.49188409,-0.125674815,24,27.0
"Waterloo Bridge, South Bank",377,51.50535447,-0.113656543,15,27.0
"Natural History Museum, South Kensington",378,51.49559291,-0.179077626,42,29.0
"Turquoise Island, Notting Hill",379,51.51431171,-0.200838199,21,40.0
"Stanhope Gate, Mayfair",380,51.50686435,-0.150666888,21,13.0
"Charlotte Street, Fitzrovia",381,51.51953043,-0.13577731,14,23.0
"Farm Street, Mayfair",382,51.50935171,-0.14744969,15,25.0
"Frith Street, Soho",383,51.51310333,-0.13121385,18,44.0
"Marloes Road, Kensington",384,51.496481,-0.192404,15,20.0
"Moor Street, Soho",386,51.51352755,-0.130110822,16,60.0
"Fire Brigade Pier, Vauxhall",387,51.49369988,-0.121394101,30,27.0
"Southampton Street, Strand",388,51.51070161,-0.121723604,14,43.0
"Upper Grosvenor Street, Mayfair",389,51.51013066,-0.155757901,18,7.0
"Buxton Street 1, Shoreditch",390,51.521776,-0.068856,41,33.0
"Clifford Street, Mayfair",391,51.51066202,-0.142345694,17,8.0
"Imperial College, Knightsbridge",392,51.49942855,-0.179702476,21,48.0
"Snow Hill, Farringdon",393,51.51733427,-0.103604248,15,19.0
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268,18,19.0
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919,15,17.0
"Shouldham Street, Marylebone",396,51.51809,-0.163609,16,32.0
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977,16,89.0
"Holland Park, Kensington",398,51.502319,-0.200742,30,37.0
"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961,24,53.0
"George Street, Marylebone",400,51.517703,-0.154106,27,25.0
"Columbia Road, Shoreditch",401,51.528187,-0.075375,24,47.0
"Penfold Street, Marylebone",402,51.52289229,-0.171681991,15,17.0
"George Place Mews, Marylebone",403,51.51689296,-0.158249929,16,29.0
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,13,283.0
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,15,79.0
"Sun Street, Liverpool Street",408,51.520009,-0.083935724,24,0.0
"Strata, Elephant & Castle",409,51.493146,-0.099828,41,91.0
"Edgware Road Station, Marylebone",410,51.519968,-0.169774,64,46.0
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846029,19,65.0
"Cleaver Street, Kennington",412,51.488105,-0.110121,17,12.0
